workload_id,decisao_id,tempo_decisao,pid,tempo_chegada,tempo_cpu_total,tempo_cpu_executado,tempo_cpu_restante,prioridade,tipo_processo,operacao_es,probabilidade_es,media_es,duracao_es,fila,tempo_espera_atual,ja_executou,vezes_executado,tempo_desde_ultima_execucao,sensivel_resposta,risco_inanicao,quantum_sugerido,qtd_processos_prontos,qtd_fila_1,qtd_fila_2,qtd_fila_3,percentual_cpu_executado,percentual_cpu_restante,selecionado
1,1,170,H01_0001_01,100,23,0,23,3,misto,1,0.56,2.36,7,2,7,0,0,0,0,0.2636,4,3,1,1,1,0.0,1.0,0
1,1,170,H01_0001_02,13,8,7,1,2,interativo,1,0.49,2.45,6,1,72,1,2,5,1,1,3,3,1,1,1,0.875,0.125,1
1,1,170,H01_0001_03,76,54,26,28,3,cpu_bound,0,0.0,0.0,0,3,29,1,3,18,0,0.8436,8,3,1,1,1,0.4815,0.5185,0
1,2,278,H01_0002_01,74,35,10,25,5,batch,1,0.26,1.29,11,3,156,1,6,157,0,1,8,7,1,5,1,0.2857,0.7143,0
1,2,278,H01_0002_02,176,18,8,10,4,misto,1,0.32,2.08,4,2,86,1,6,68,0,1,4,7,1,5,1,0.4444,0.5556,0
1,2,278,H01_0002_03,156,21,8,13,3,misto,1,0.57,3.32,6,2,99,1,1,22,0,1,4,7,1,5,1,0.381,0.619,0
1,2,278,H01_0002_04,0,15,2,13,2,io_bound,1,0.6,2.53,9,2,126,1,1,121,0,1,4,7,1,5,1,0.1333,0.8667,0
1,2,278,H01_0002_05,53,12,6,6,2,io_bound,1,0.9,3.66,11,2,205,1,3,76,0,1,4,7,1,5,1,0.5,0.5,1
1,2,278,H01_0002_06,84,8,7,1,1,tempo_real,0,0.0,0.0,0,1,97,1,7,34,1,1,2,7,1,5,1,0.875,0.125,0
1,2,278,H01_0002_07,71,29,27,2,2,misto,1,0.45,3.17,8,2,61,1,6,16,0,1,4,7,1,5,1,0.931,0.069,0
1,3,298,H01_0003_01,54,15,1,14,3,io_bound,1,0.86,5.93,11,2,62,1,1,28,0,1,4,7,1,2,4,0.0667,0.9333,0
1,3,298,H01_0003_02,175,5,3,2,1,tempo_real,0,0.0,0.0,0,1,65,1,1,46,1,1,2,7,1,2,4,0.6,0.4,0
1,3,298,H01_0003_03,118,38,19,19,4,cpu_bound,1,0.18,1.06,3,3,106,1,8,49,0,1,8,7,1,2,4,0.5,0.5,0
1,3,298,H01_0003_04,281,43,5,38,4,cpu_bound,0,0.0,0.0,0,3,12,1,4,2,0,0.3091,8,7,1,2,4,0.1163,0.8837,0
1,3,298,H01_0003_05,46,16,13,3,2,io_bound,1,0.74,4.53,10,2,200,1,6,78,0,1,4,7,1,2,4,0.8125,0.1875,1
1,3,298,H01_0003_06,42,56,53,3,5,cpu_bound,0,0.0,0.0,0,3,132,1,10,29,0,1,8,7,1,2,4,0.9464,0.0536,0
1,3,298,H01_0003_07,189,33,0,33,4,cpu_bound,0,0.0,0.0,0,3,60,0,0,0,0,1,8,7,1,2,4,0.0,1.0,0
1,4,224,H01_0004_01,202,50,42,8,5,batch,1,0.37,2.94,11,3,2,1,10,0,0,0.0818,8,3,0,2,1,0.84,0.16,0
1,4,224,H01_0004_02,28,10,3,7,2,io_bound,1,0.72,5.89,7,2,1,1,3,5,0,0.2,4,3,0,2,1,0.3,0.7,1
