pid,nome_processo,tempo_chegada,tempo_cpu_total,prioridade,tipo_processo,operacao_es,probabilidade_es,media_es,duracao_es,fila_sugerida,quantum_sugerido,descricao
P001,ServidorAplicacao,2,23,4,misto,1,0.33,3.8,1,2,4,Processo com uso combinado de CPU e E/S
P002,SincronizacaoNuvem,4,12,2,io_bound,1,0.58,3.14,4,2,4,Processo com predominância de entrada/saída
P003,Atualizador,7,19,4,batch,1,0.27,0.1,7,3,8,Processo em lote ou segundo plano
P004,IDE,8,14,3,interativo,0,0.0,0.0,0,1,3,Processo de usuário com interação frequente
P005,Navegador,9,12,4,interativo,1,0.6,1.64,4,1,3,Processo de usuário com interação frequente
P006,Atualizador,12,36,5,batch,1,0.36,3.46,12,3,8,Processo em lote ou segundo plano
P007,BancoDados,15,18,3,misto,1,0.71,0.14,1,2,4,Processo com uso combinado de CPU e E/S
P008,MonitorSistema,16,9,2,tempo_real,0,0.0,0.0,0,1,2,Processo sensível ao tempo de resposta
P009,Renderizacao,17,66,4,cpu_bound,0,0.0,0.0,0,3,8,Processo intensivo em CPU
P010,IDE,18,13,4,interativo,0,0.0,0.0,0,1,3,Processo de usuário com interação frequente
P011,Impressao,18,5,5,io_bound,1,0.65,2.55,7,2,4,Processo com predominância de entrada/saída
P012,Criptografia,20,42,5,cpu_bound,0,0.0,0.0,0,3,8,Processo intensivo em CPU
P013,ColetorLogs,20,15,4,misto,1,0.3,1.69,8,2,4,Processo com uso combinado de CPU e E/S
P014,IDE,22,9,1,interativo,0,0.0,0.0,0,1,3,Processo de usuário com interação frequente
P015,ControleTemperatura,24,6,2,tempo_real,0,0.0,0.0,0,1,2,Processo sensível ao tempo de resposta
P016,Chat,24,8,3,interativo,0,0.0,0.0,0,1,3,Processo de usuário com interação frequente
P017,Renderizacao,26,56,4,cpu_bound,0,0.0,0.0,0,3,8,Processo intensivo em CPU
P018,BancoDados,27,30,3,misto,1,0.52,3.44,7,2,4,Processo com uso combinado de CPU e E/S
P019,DownloadArquivo,28,18,4,io_bound,1,0.73,2.29,5,2,4,Processo com predominância de entrada/saída
P020,BancoDados,30,17,1,misto,0,0.0,0.0,0,2,4,Processo com uso combinado de CPU e E/S
P021,ExportacaoDados,33,43,5,batch,0,0.0,0.0,0,3,8,Processo em lote ou segundo plano
P022,Alarme,34,6,1,tempo_real,0,0.0,0.0,0,1,2,Processo sensível ao tempo de resposta
P023,BackupParcial,36,5,2,io_bound,1,0.72,2.62,8,2,4,Processo com predominância de entrada/saída
P024,Renderizacao,36,34,4,cpu_bound,0,0.0,0.0,0,3,8,Processo intensivo em CPU
P025,ServidorAplicacao,37,32,1,misto,1,0.72,3.05,10,2,4,Processo com uso combinado de CPU e E/S
P026,TransferenciaRede,38,13,3,io_bound,1,0.67,4.95,12,2,4,Processo com predominância de entrada/saída
P027,SincronizacaoNuvem,40,11,1,io_bound,1,0.82,4.64,12,2,4,Processo com predominância de entrada/saída
P028,MonitorSistema,41,13,1,tempo_real,1,0.13,0.1,4,1,2,Processo sensível ao tempo de resposta
P029,Renderizacao,44,35,4,cpu_bound,1,0.18,0.22,5,3,8,Processo intensivo em CPU
P030,LeituraDisco,45,6,4,io_bound,1,0.89,5.19,12,2,4,Processo com predominância de entrada/saída
P031,Alarme,47,3,2,tempo_real,0,0.0,0.0,0,1,2,Processo sensível ao tempo de resposta
P032,Simulacao,49,54,4,cpu_bound,0,0.0,0.0,0,3,8,Processo intensivo em CPU
P033,DownloadArquivo,49,8,3,io_bound,1,0.7,2.7,9,2,4,Processo com predominância de entrada/saída
P034,BancoDados,50,21,2,misto,0,0.0,0.0,0,2,4,Processo com uso combinado de CPU e E/S
P035,EditorTexto,51,12,4,interativo,0,0.0,0.0,0,1,3,Processo de usuário com interação frequente
P036,BancoDados,53,12,3,misto,1,0.58,3.29,6,2,4,Processo com uso combinado de CPU e E/S
P037,ProcessamentoLote,55,24,5,batch,0,0.0,0.0,0,3,8,Processo em lote ou segundo plano
P038,RelatorioMensal,55,56,5,batch,1,0.35,0.1,1,3,8,Processo em lote ou segundo plano
P039,ServidorWeb,56,28,1,misto,1,0.6,2.86,6,2,4,Processo com uso combinado de CPU e E/S
P040,ServidorWeb,59,30,3,misto,1,0.5,0.1,2,2,4,Processo com uso combinado de CPU e E/S
P041,ControleTemperatura,60,3,1,tempo_real,0,0.0,0.0,0,1,2,Processo sensível ao tempo de resposta
P042,Impressao,61,9,4,io_bound,1,0.67,4.84,12,2,4,Processo com predominância de entrada/saída
P043,Navegador,62,17,2,interativo,1,0.53,2.2,3,1,3,Processo de usuário com interação frequente
P044,PainelUsuario,64,13,3,interativo,1,0.45,0.14,1,1,3,Processo de usuário com interação frequente
P045,ServidorAplicacao,65,20,2,misto,1,0.63,2.18,5,2,4,Processo com uso combinado de CPU e E/S
P046,ExportacaoDados,67,50,5,batch,1,0.05,1.91,9,3,8,Processo em lote ou segundo plano
P047,Renderizacao,69,45,4,cpu_bound,0,0.0,0.0,0,3,8,Processo intensivo em CPU
P048,TransferenciaRede,71,21,3,io_bound,1,0.78,4.78,11,2,4,Processo com predominância de entrada/saída
P049,BancoDados,71,11,3,misto,0,0.0,0.0,0,2,4,Processo com uso combinado de CPU e E/S
P050,Indexador,73,16,2,misto,1,0.34,0.1,8,2,4,Processo com uso combinado de CPU e E/S
